place,infobox_content,marker,coordinates,cache,latitude,longitude,სახელი,დასახლება,სტატუსი,მისამართი,ნაგავსაყრელის ტერიტორია (კვ.მ.),ემსახურება,სამუშაო საათები,ნარჩენების საშუალო რაოდენობა თვეში (მ3)
Zugdidi,"</p>
<p>ზუგდიდის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება სენაკს, ზუგდიდს, ჩხოროწყუს, წალენჯიხას და ხობს<br />
სამუშაო საათები : 24/7<br />
მისამართი: ზუგდიდი, სოფელი დიდძენი<br />
ნარჩენების საშუალო რაოდენობა თვეში: 3498 m3<br />
ნაგავსაყრელის ტერიტორია: 166 910.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.5,41.85000000000002,ზუგდიდის ნაგავსაყრელი,ზუგდიდი,მოქმედი,"ზუგდიდი, სოფელი დიდძენი",166910,"სენაკს, ზუგდიდს, ჩხოროწყუს, წალენჯიხას, ხობს",24/7,3498
Tsalenjikha,"</p>
<p>წალენჯიხის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: წალენჯიხა, სოფელი ზვაის უბანი<br />
ნაგავსაყრელის ტერიტორია: 3 175.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.6215005,42.066009699999995,წალენჯიხის ნაგავსაყრელი,წალენჯიხა,დახურული,"წალენჯიხა, სოფელი ზვაის უბანი",3175,,,
Khobi,"</p>
<p>ხობის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ხობი, სოფელი პირველი მაისი<br />
ნაგავსაყრელის ტერიტორია: 10 670.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.316667,41.89999999999998,ხობის ნაგავსაყრელი,ხობი,დახურული,"ხობი, სოფელი პირველი მაისი",10670,,,
Poti,"</p>
<p>ფოთის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება ფოთს<br />
სამუშაო საათები : 24/7<br />
მისამართი: ფოთი, ჭავჭავაძის ქუჩა<br />
ნარჩენების საშუალო რაოდენობა თვეში: 3000 m3<br />
ნაგავსაყრელის ტერიტორია: 55 185.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.141944,41.67638899999997,ფოთის ნაგავსაყრელი,ფოთი,მოქმედი,"ფოთი, ჭავჭავაძის ქუჩა",55185,ფოთს,24/7,3000
Chokhatauri,"</p>
<p>ჩოხატაურის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება ჩოხატაურს<br />
სამუშაო საათები: 09:00-18:00<br />
მისამართი: ჩოხატაური, სოფელი ბუკნარი<br />
ნარჩენების საშუალო რაოდენობა თვეში: 330 m3<br />
ნაგავსაყრელის ტერიტორია: 11 970.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.0183362,42.236582699999985,ჩოხატაურის ნაგავსაყრელი,ჩოხატაური,მოქმედი,"ჩოხატაური, სოფელი ბუკნარი",11970,ჩოხატაურს,09:00-18:00,330
Lanchkhuti,"</p>
<p>ლანჩხუთის ნაგავსაყრელი<br />
სტატუსი: დახურული<br />
მისამართი: ლანჩხუთი<br />
ნაგავსაყრელის ტერიტორია: 45 001.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.094444,42.04166699999996,ლანჩხუთის ნაგავსაყრელი,ლანჩხუთი,დახურული,ლანჩხუთი,45001,,,
Ozurgeti,"</p>
<p>ოზურგეთის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება ოზურგეთს<br />
სამუშაო საათები: 24/7<br />
მისამართი: ოზურგეთი, სოფელი მერია<br />
ნარჩენების საშუალო რაოდენობა თვეში: 1500 m3<br />
ნაგავსაყრელის ტერიტორია: 39 699.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.933333,41.983333000000016,ოზურგეთის ნაგავსაყრელი,ოზურგეთი,მოქმედი,"ოზურგეთი, სოფელი მერია",39699,ოზურგეთს,24/7,1500
Ureki,"</p>
<p>ურეკის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ოზურგეთის მხარე, დაბა ურეკი<br />
ნაგავსაყრელის ტერიტორია: 13 305.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.996944,41.77805599999999,ურეკის ნაგავსაყრელი,ურეკი,დახურული,"ოზურგეთის მხარე, დაბა ურეკი",13305,,,
Khashuri,"</p>
<p>ხაშურის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება ხაშურს<br />
სამუშაო საათები: 09:00-18:00<br />
მისამართი: ხაშური, სოფელი თაგვეთი<br />
ნარჩენების საშუალო რაოდენობა თვეში: 4998 m3<br />
ნაგავსაყრელის ტერიტორია: 161 006.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.989722,43.59000000000003,ხაშურის ნაგავსაყრელი,ხაშური,მოქმედი,"ხაშური, სოფელი თაგვეთი",161006,ხაშურს,09:00-18:00,4998
Kareli,"</p>
<p>ქარელის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ქარელი<br />
ნაგავსაყრელის ტერიტორია: 27 354.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,22.933611,79.06222200000002,ქარელის ნაგავსაყრელი,ქარელი,დახურული,ქარელი,27354,,,
